Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-01-26,LTCEUR,145,157.8,137,144.51,73.65,10672.43
2018-01-25,LTCEUR,144.1,149.95,142.5,145,61.89,8995.24
2018-01-24,LTCEUR,145.5,157.8,141.01,144.1,40.8,5934.54
2018-01-23,LTCEUR,155.9,157.73,138.4,145.5,46.54,7079.25
2018-01-22,LTCEUR,158.01,168,140,155.9,131.15,20528.91
2018-01-21,LTCEUR,175.57,177.3,158.01,158.01,130.11,21894.0
2018-01-20,LTCEUR,160.35,177.99,160.35,175.57,92.4,16025.16
2018-01-19,LTCEUR,168.99,174.88,158.02,160.35,91.43,15148.54
2018-01-18,LTCEUR,158.35,196,150,168.99,190.19,31745.78
2018-01-17,LTCEUR,159,179,120,158.35,163.04,23597.32
2018-01-16,LTCEUR,197.18,207,121,159,400.37,70811.67
2018-01-15,LTCEUR,204.98,207,193.5,197.18,78.63,15886.46
2018-01-14,LTCEUR,214.98,219.7,200.5,204.98,89.86,18647.51
2018-01-13,LTCEUR,201.9,214.99,201.9,214.98,106.1,22195.16
2018-01-12,LTCEUR,200,211.4,193.72,201.9,122.32,24672.23
2018-01-11,LTCEUR,208.99,214.99,190,200,134.99,27327.78
2018-01-10,LTCEUR,223.17,227,200,208.99,148.66,31083.08
2018-01-09,LTCEUR,222.49,230,205.01,223.17,111.62,24588.66
2018-01-08,LTCEUR,230.44,233.2,199,222.49,116.56,25791.16
2018-01-07,LTCEUR,233.24,255,215.08,230.44,35.73,8362.2
2018-01-06,LTCEUR,207.71,254.5,197,233.24,158.28,36427.6
2018-01-05,LTCEUR,209.1,218,192.01,207.71,81.91,16580.99
2018-01-04,LTCEUR,213.6,219.5,190.02,209.1,115.58,23680.69
2018-01-03,LTCEUR,222,269,208.71,213.6,102.35,23193.81
2018-01-02,LTCEUR,204.5,252.71,204.5,222,98.03,21771.71
2018-01-01,LTCEUR,203,204.84,189,204.5,12.24,2460.61
2017-12-31,LTCEUR,188.05,230,183,203,68.25,14551.21
2017-12-30,LTCEUR,212.02,218,184,188.05,53.23,10692.92
2017-12-29,LTCEUR,210.5,229.89,201,212.02,43.05,9328.44
2017-12-28,LTCEUR,221.55,238.9,203.1,210.5,132.01,30497.44
2017-12-27,LTCEUR,248.18,248.6,221.55,221.55,96.14,23289.78
2017-12-26,LTCEUR,240,248.19,235.11,248.18,33.99,8178.47
2017-12-25,LTCEUR,258.41,258.41,231.06,240,16.16,3889.96
2017-12-24,LTCEUR,250,258.55,226,258.41,20.37,4856.19
2017-12-23,LTCEUR,238,290,230,250,106.02,27825.43
2017-12-22,LTCEUR,271,294.25,185,238,1365.15,356798.1
2017-12-21,LTCEUR,285,305,266,271,1708.9,481602.03
