Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-04-08,BCHUSD,630,786,630,786,0.05545,43.58
2018-04-07,BCHUSD,630,630,630,630,0.0,0.0
2018-04-06,BCHUSD,630,630,630,630,0.0,0.0
2018-04-05,BCHUSD,630,630,630,630,0.0,0.0
2018-04-04,BCHUSD,630,630,630,630,0.4,252.0
2018-04-03,BCHUSD,630,630,630,630,0.0,0.0
2018-04-02,BCHUSD,680,680,630,630,0.01032,6.5
2018-04-01,BCHUSD,698.42,698.42,644.37,680,0.08331,55.57
2018-03-31,BCHUSD,694.29,698.42,694.29,698.42,0.07192,50.23
2018-03-30,BCHUSD,756,756,694.29,694.29,0.2129,153.71
2018-03-29,BCHUSD,875,875,756,756,0.3872,320.35
2018-03-28,BCHUSD,900,900,875,875,0.2267,200.0
2018-03-27,BCHUSD,1141,1141,900,900,0.516,503.83
2018-03-26,BCHUSD,986,1141,986,1141,0.005995,6.84
2018-03-25,BCHUSD,986,986,986,986,0.0,0.0
2018-03-24,BCHUSD,1063.12,1063.12,986,986,0.1384,137.33
2018-03-23,BCHUSD,1020,1160,968.67,1063.12,0.4834,530.07
2018-03-22,BCHUSD,1020.02,1021.74,920.5,1020,0.2303,223.54
2018-03-21,BCHUSD,1073.86,1073.86,916,1020.02,0.5122,526.38
2018-03-20,BCHUSD,983.32,1076.65,983.32,1073.86,2.12,2142.0
2018-03-19,BCHUSD,941.82,1006.04,912,983.32,0.7186,706.9
2018-03-18,BCHUSD,1017.33,1106,900,941.82,0.6643,621.33
2018-03-17,BCHUSD,1022.64,1022.64,1017.33,1017.33,0.01881,19.16
2018-03-16,BCHUSD,963.44,1040.51,934,1022.64,0.08335,80.3
2018-03-15,BCHUSD,1158,1158,934,963.44,0.4608,437.4
2018-03-14,BCHUSD,1008,1158,1008,1158,0.6615,682.86
2018-03-13,BCHUSD,1132.2,1132.2,1008,1008,0.1862,188.99
2018-03-12,BCHUSD,1132.2,1132.2,1132.2,1132.2,0.0,0.0
2018-03-11,BCHUSD,1110,1132.2,1029.87,1132.2,0.7191,781.81
2018-03-10,BCHUSD,987.54,1110,987.54,1110,0.4496,470.46
2018-03-09,BCHUSD,1069.66,1069.66,961.7,987.54,1.136,1133.14
2018-03-08,BCHUSD,1111,1128.52,1051.18,1069.66,1.13,1244.84
2018-03-07,BCHUSD,1197,1197,1064.94,1111,1.26,1438.78
2018-03-06,BCHUSD,1265.31,1284,1197,1197,2.123,2571.63
2018-03-05,BCHUSD,1260,1412,1260,1265.31,0.6164,818.56
2018-03-04,BCHUSD,1291,1291,1230.1,1260,0.09201,113.46
2018-03-03,BCHUSD,1225.02,1298,1225.02,1291,0.4206,544.9
2018-03-02,BCHUSD,1211,1291,1211,1225.02,0.1234,151.96
2018-03-01,BCHUSD,1211,1211,1211,1211,0.008241,9.98
2018-02-28,BCHUSD,1200.03,1270,1200.03,1211,0.04722,58.21
2018-02-27,BCHUSD,1260.75,1275,1200.02,1200.03,1.348,1700.83
2018-02-26,BCHUSD,1172.1,1261,1172.1,1260.75,0.1351,167.67
2018-02-25,BCHUSD,1160.5,1172.1,1160.5,1172.1,0.03455,40.49
2018-02-24,BCHUSD,1409.11,1409.11,1160.5,1160.5,0.6253,746.07
2018-02-23,BCHUSD,1160.94,1428,1160.94,1409.11,0.7364,936.26
2018-02-22,BCHUSD,1280,1280,1160.94,1160.94,2.312,2871.81
2018-02-21,BCHUSD,1440,1440,1280,1280,2.77,3606.16
2018-02-20,BCHUSD,1440.02,1501.11,1440,1440,1.54,2227.19
2018-02-19,BCHUSD,1501,1501,1440.02,1440.02,0.1402,208.64
2018-02-18,BCHUSD,1536,1600,1413.72,1501,4.357,6899.93
2018-02-17,BCHUSD,1505.71,1536,1501.88,1536,3.02,4574.44
2018-02-16,BCHUSD,1414,1505.71,1399.72,1505.71,2.184,3199.61
2018-02-15,BCHUSD,1250,1477,1250,1414,2.062,2884.49
2018-02-14,BCHUSD,1160.01,1371,1160.01,1250,1.228,1626.84
2018-02-13,BCHUSD,1143,1200.03,1143,1160.01,1.011,1208.22
2018-02-12,BCHUSD,1322.26,1322.26,1125,1143,0.1401,166.3
2018-02-11,BCHUSD,1286.01,1414.5,1121,1322.26,0.2925,406.83
2018-02-10,BCHUSD,1286.01,1286.01,1286.01,1286.01,3.639,4679.33
2018-02-09,BCHUSD,1286.07,1298.88,1286.01,1286.01,25.99,33428.13
2018-02-08,BCHUSD,989,1286.07,989,1286.07,1.987,2364.91
2018-02-07,BCHUSD,1007.98,1114,970,989,0.7398,725.97
2018-02-06,BCHUSD,850,1166,801,1007.98,0.4752,439.05
2018-02-05,BCHUSD,1102,1188,830,850,3.457,3198.18
2018-02-04,BCHUSD,1299,1417.91,1102,1102,0.367,434.97
2018-02-03,BCHUSD,1111,1299,1101,1299,1.213,1417.13
2018-02-02,BCHUSD,1112,1112,1022,1111,1.452,1599.81
2018-02-01,BCHUSD,1464.5,1490,1112,1112,10.07,12758.94
2018-01-31,BCHUSD,1434,1627,1405.5,1464.5,2.311,3434.87
2018-01-30,BCHUSD,1721.24,1721.24,1434,1434,3.324,5328.87
2018-01-29,BCHUSD,1756.21,1756.37,1721.24,1721.24,0.2669,464.01
2018-01-28,BCHUSD,1672,1774,1550.05,1756.21,2.366,3895.19
2018-01-27,BCHUSD,1550,1672.7,1550,1672,0.6642,1093.97
2018-01-26,BCHUSD,1625,1678,1540.55,1550,0.7301,1155.66
2018-01-25,BCHUSD,1611,1699,1611,1625,0.1236,202.9
2018-01-24,BCHUSD,1616.92,1616.92,1603.22,1611,0.0149,23.95
2018-01-23,BCHUSD,1578,1820,1540.01,1616.92,1.514,2352.13
2018-01-22,BCHUSD,1770,1810.5,1578,1578,2.454,3964.68
2018-01-21,BCHUSD,1911.52,2000,1751,1770,2.371,4594.95
2018-01-20,BCHUSD,2099,2099,1826,1911.52,5.694,11835.84
2018-01-19,BCHUSD,1900,2099,1900,2099,0.4204,800.79
2018-01-18,BCHUSD,1803.79,2099,1803.79,1900,6.077,11368.16
2018-01-17,BCHUSD,1998,2234.21,1400,1803.79,2.278,4040.96
