Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2019-05-20,DASHUSD,172,174,158.5,170,8.799,1466.91
2019-05-19,DASHUSD,146.97,174,141,172,29.4,4492.68
2019-05-18,DASHUSD,138.77,146.97,132,146.97,11.46,1592.61
2019-05-17,DASHUSD,155,155,130.78,138.77,18.64,2628.1
2019-05-16,DASHUSD,160,162.01,149.7,155,11.3,1741.7
2019-05-15,DASHUSD,142,160,142,160,14.3,2175.52
2019-05-14,DASHUSD,132.42,148.31,132.42,142,6.935,998.33
2019-05-13,DASHUSD,137.01,144.81,127.81,132.42,12.96,1781.13
2019-05-12,DASHUSD,129.63,137.01,125.3,137.01,5.953,788.76
2019-05-11,DASHUSD,120.74,138.42,120.74,129.63,8.434,1059.94
2019-05-10,DASHUSD,111.55,123.83,111.55,120.74,5.283,625.74
2019-05-09,DASHUSD,119.02,121.63,111.52,111.55,8.999,1044.33
2019-05-08,DASHUSD,120.72,122.06,119,119.02,1.355,163.78
2019-05-07,DASHUSD,125.96,126.92,120.72,120.72,1.826,222.34
2019-05-06,DASHUSD,123.38,126.16,120.66,125.96,11.63,1403.9
2019-05-05,DASHUSD,128.06,128.06,120.63,123.38,7.577,946.96
2019-05-04,DASHUSD,125.2,128.06,121.84,128.06,2.366,297.93
2019-05-03,DASHUSD,121.6,125.2,120.01,125.2,3.097,378.33
2019-05-02,DASHUSD,122.19,125,119.22,121.6,2.825,347.66
2019-05-01,DASHUSD,117,125.87,116.89,122.19,6.968,841.85
2019-04-30,DASHUSD,115.37,120,115,117,11.43,1333.25
2019-04-29,DASHUSD,119.55,119.55,115,115.37,2.394,278.62
2019-04-28,DASHUSD,117.8,119.55,116.54,119.55,4.38,517.82
2019-04-27,DASHUSD,117,119.4,115,117.8,2.254,263.22
2019-04-26,DASHUSD,117,119.55,115,117,2.12,248.13
2019-04-25,DASHUSD,123.87,127.81,115,117,6.785,834.75
2019-04-24,DASHUSD,127.5,128.12,120,123.87,2.379,295.88
2019-04-23,DASHUSD,129.2,131.2,126.03,127.5,7.639,983.48
2019-04-22,DASHUSD,125.04,129.2,125.04,129.2,3.657,469.42
2019-04-21,DASHUSD,129.18,129.2,125,125.04,6.454,824.69
2019-04-20,DASHUSD,126.56,130.96,126.56,129.18,0.01702,2.182
2019-04-19,DASHUSD,132,132,126.56,126.56,0.3771,47.73
2019-04-18,DASHUSD,124.8,132,124.8,132,0.8142,103.37
2019-04-17,DASHUSD,123.82,128,123.82,124.8,0.1748,22.03
2019-04-16,DASHUSD,124,129.78,123.09,123.82,4.892,622.12
2019-04-15,DASHUSD,127.96,129.9,124,124,11.17,1396.98
2019-04-14,DASHUSD,125.61,128,124.01,127.96,2.115,266.34
2019-04-13,DASHUSD,122.83,131.68,122.83,125.61,0.3149,39.14
2019-04-12,DASHUSD,126.84,131.91,122.25,131.91,1.206,153.54
2019-04-11,DASHUSD,133.96,133.96,120,126.84,11.03,1404.28
2019-04-10,DASHUSD,141.03,141.03,133.96,133.96,0.6458,88.71
2019-04-09,DASHUSD,141.33,141.33,136.23,141.03,0.1903,25.96
2019-04-08,DASHUSD,139.94,143.81,136.14,141.33,1.47,208.65
2019-04-07,DASHUSD,139.94,139.94,136.1,139.94,1.073,146.86
2019-04-06,DASHUSD,133.14,140,132.03,139.94,2.279,311.16
2019-04-05,DASHUSD,124,140.08,124,133.14,6.718,899.25
2019-04-04,DASHUSD,128,131.84,119.84,124,2.138,262.31
2019-04-03,DASHUSD,123.03,141.22,123.03,128,5.032,695.44
2019-04-02,DASHUSD,118.61,134.9,113.07,123.03,4.142,505.64
2019-04-01,DASHUSD,116.93,131.05,112.44,118.61,1.096,129.99
2019-03-31,DASHUSD,103.78,116.93,101.23,116.93,2.805,312.66
2019-03-30,DASHUSD,101.2,103.78,96.06,103.78,1.089,110.24
2019-03-29,DASHUSD,99,101.2,99,101.2,0.3006,30.12
2019-03-28,DASHUSD,98,99,95.31,99,1.581,153.56
2019-03-27,DASHUSD,93.76,98.84,90.5,98,1.249,121.1
2019-03-26,DASHUSD,95.58,95.58,92.93,93.76,0.7667,71.86
2019-03-25,DASHUSD,97.2,98.95,94.12,95.58,6.65,638.35
2019-03-24,DASHUSD,97,99.52,97,97.2,1.993,193.98
2019-03-23,DASHUSD,96.75,97.91,96,97,3.708,358.67
2019-03-22,DASHUSD,96,99.52,96,96.75,8.986,863.17
2019-03-21,DASHUSD,98.29,98.3,95.91,96,3.967,381.8
2019-03-20,DASHUSD,96,99.51,95.11,98.29,0.9367,92.64
2019-03-19,DASHUSD,97,97,95.3,96,0.2503,24.0
2019-03-18,DASHUSD,91.66,98.12,91.66,97,0.008466,0.8217
2019-03-17,DASHUSD,95.49,95.49,91.66,91.66,0.1739,16.29
