Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-04-15,ETHUSD,165.64,174.73,161,161,3.664,614.33
2019-04-14,ETHUSD,164.77,165.64,161.14,165.64,0.4937,81.19
2019-04-13,ETHUSD,179,179,164.77,164.77,6.811,1139.68
2019-04-12,ETHUSD,172.4,179,162.01,179,3.451,574.82
2019-04-11,ETHUSD,175,180,165,172.4,6.034,1031.9
2019-04-10,ETHUSD,208,208,175,175,1.851,329.37
2019-04-09,ETHUSD,179,208,179,208,4.271,821.19
2019-04-08,ETHUSD,168.73,204.97,168.73,179,22.17,4019.47
2019-04-07,ETHUSD,167.5,177,165,168.73,5.265,902.26
2019-04-06,ETHUSD,172.98,172.98,167,167.5,4.986,833.65
2019-04-05,ETHUSD,155,175.89,155,172.98,1.886,320.06
2019-04-04,ETHUSD,160,184,155,155,6.42,1063.6
2019-04-03,ETHUSD,166,172,156.3,160,8.992,1491.25
2019-04-02,ETHUSD,148.43,166,148.4,166,16.22,2542.63
2019-04-01,ETHUSD,148.44,148.44,138.69,148.43,1.172,163.69
2019-03-31,ETHUSD,143.9,148.44,140.53,148.44,7.862,1134.64
2019-03-30,ETHUSD,143.9,143.9,143.9,143.9,0.0,0.0
2019-03-29,ETHUSD,141.96,143.9,135.66,143.9,0.864,119.39
2019-03-28,ETHUSD,137.64,141.96,137.64,141.96,1.01,143.22
2019-03-27,ETHUSD,133.44,138.06,133.44,137.64,0.9503,130.26
2019-03-26,ETHUSD,139.97,139.97,132.47,133.44,14.46,1936.29
2019-03-25,ETHUSD,139.92,165,120,139.97,28.23,3937.89
2019-03-24,ETHUSD,124.16,139.92,124.16,139.92,0.9146,123.99
2019-03-23,ETHUSD,124.16,124.16,124.16,124.16,0.0,0.0
2019-03-22,ETHUSD,135.86,136.82,124.16,124.16,18.03,2427.01
2019-03-21,ETHUSD,158.91,158.91,135.86,135.86,4.146,565.33
2019-03-20,ETHUSD,141.39,159,135,158.91,12.44,1755.87
2019-03-19,ETHUSD,141.39,141.39,141.39,141.39,0.0,0.0
2019-03-18,ETHUSD,143.3,143.3,133.99,141.39,8.582,1197.21
2019-03-17,ETHUSD,127.02,143.3,127.02,143.3,16.37,2265.27
2019-03-16,ETHUSD,137.81,140,127.02,127.02,0.991,135.54
2019-03-15,ETHUSD,132.62,137.81,132.62,137.81,1.0,136.93
2019-03-14,ETHUSD,131.69,133.23,131.22,132.62,6.279,831.86
2019-03-13,ETHUSD,136.36,142.82,131.08,131.69,20.87,2788.89
2019-03-12,ETHUSD,136.08,136.36,133,136.36,8.559,1142.17
2019-03-11,ETHUSD,135,136.08,131.14,136.08,2.47,330.32
2019-03-10,ETHUSD,135,135,135,135,0.0,0.0
2019-03-09,ETHUSD,135,135,135,135,0.0,0.0
2019-03-08,ETHUSD,136.39,136.48,135,135,4.444,600.76
2019-03-07,ETHUSD,124.17,136.39,124.17,136.39,8.198,1118.13
2019-03-06,ETHUSD,135.64,139.45,124.17,124.17,5.359,737.29
2019-03-05,ETHUSD,124.83,135.67,124.83,135.64,8.603,1105.61
2019-03-04,ETHUSD,133.08,133.08,124.12,124.83,41.12,5161.11
2019-03-03,ETHUSD,136,136.5,128.56,133.08,1.739,235.5
2019-03-02,ETHUSD,136.16,136.16,136,136,3.0,408.0
2019-03-01,ETHUSD,136.88,137.2,135.62,136.16,2.775,378.72
2019-02-28,ETHUSD,129.84,136.88,129.84,136.88,13.65,1855.23
2019-02-27,ETHUSD,135.5,140.47,127.05,129.84,27.75,3564.73
2019-02-26,ETHUSD,138.47,140.47,130.03,135.5,2.56,349.29
2019-02-25,ETHUSD,140.01,140.45,134.67,138.47,25.58,3524.9
2019-02-24,ETHUSD,153,164.85,140.01,140.01,7.642,1189.75
2019-02-23,ETHUSD,146.35,153,146.35,153,0.5954,88.48
2019-02-22,ETHUSD,142.86,146.35,142.55,146.35,1.146,165.96
2019-02-21,ETHUSD,148.06,148.06,142.53,142.86,10.11,1451.41
2019-02-20,ETHUSD,142.32,148.06,142.27,148.06,10.28,1509.06
2019-02-19,ETHUSD,143.23,147.84,142.32,142.32,21.14,3066.42
2019-02-18,ETHUSD,128,149,128,143.23,42.0,5891.15
2019-02-17,ETHUSD,126,128,126,128,1.104,139.55
2019-02-16,ETHUSD,120.11,126,120.11,126,0.7084,89.23
2019-02-15,ETHUSD,119.62,125.16,119.62,120.11,3.707,447.07
2019-02-14,ETHUSD,119.99,120,117.01,119.62,4.306,514.1
2019-02-13,ETHUSD,121,123,111.58,119.99,2.16,256.24
2019-02-12,ETHUSD,119.84,121,118.83,121,2.451,294.63
2019-02-11,ETHUSD,120,121,118.4,119.84,2.146,257.2
2019-02-10,ETHUSD,114.07,122.86,101.3,120,1.569,181.25
2019-02-09,ETHUSD,118.17,118.17,114.07,114.07,0.1096,12.51
2019-02-08,ETHUSD,103.04,121.05,103.04,118.17,25.15,2911.24
2019-02-07,ETHUSD,104,104.44,103.04,103.04,11.35,1182.6
2019-02-06,ETHUSD,106.27,106.27,104,104,1.01,105.04
2019-02-05,ETHUSD,106.31,106.65,105.71,106.27,1.317,140.31
2019-02-04,ETHUSD,106.63,107.22,105.91,106.31,1.056,111.99
2019-02-03,ETHUSD,106.63,106.63,106.63,106.63,0.0,0.0
2019-02-02,ETHUSD,106.63,106.63,106.63,106.63,0.0,0.0
2019-02-01,ETHUSD,108.39,108.39,104.34,106.63,1.915,203.62
