Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2018-08-07,BTCEUR,6091.9,6229.96,5788.04,5792.83,104.7,640475.69
2018-08-06,BTCEUR,6067.79,6167.41,6021.65,6091.9,119.52,724124.81
2018-08-05,BTCEUR,6058.88,6544.8,6000,6067.79,69.31,421978.5
2018-08-04,BTCEUR,6486.58,6569.96,6000,6058.88,75.17,469956.22
2018-08-03,BTCEUR,6500.98,6581.23,6300.01,6486.58,96.35,615873.93
2018-08-02,BTCEUR,6549,6752.07,6467.22,6500.98,100.93,665770.31
2018-08-01,BTCEUR,6586.99,7360.95,6300.01,6549,123.35,831741.28
2018-07-31,BTCEUR,6959.94,7061.9,6541.47,6586.99,116.66,792461.85
2018-07-30,BTCEUR,6998.95,7073.72,6759.52,6959.94,123.07,856964.91
2018-07-29,BTCEUR,7031.9,7130.67,6913.2,6998.95,67.21,471727.97
2018-07-28,BTCEUR,6969.63,7091.45,6908.62,7031.9,74.02,518061.43
2018-07-27,BTCEUR,6803.5,7096,6727.83,6969.63,106.73,736117.78
2018-07-26,BTCEUR,7068.66,7137.06,6800,6803.5,113.65,804642.12
2018-07-25,BTCEUR,7163.15,7307.54,6700.02,7068.66,101.14,711721.32
2018-07-24,BTCEUR,6603.73,7168.45,6530,7163.15,101.43,708696.12
2018-07-23,BTCEUR,6302.29,6699.87,5900,6603.73,105.19,685785.38
2018-07-22,BTCEUR,6319.93,6449.99,6264.99,6302.29,77.92,492934.45
2018-07-21,BTCEUR,6203.03,6324.06,6055.8,6319.93,82.22,513315.87
2018-07-20,BTCEUR,6373.35,6400.4,6200.02,6203.03,106.27,672669.71
2018-07-19,BTCEUR,6242.84,6400,6120.05,6373.35,119.27,754042.4
2018-07-18,BTCEUR,6242.78,6400,6115,6242.84,94.7,597283.8
2018-07-17,BTCEUR,5694.39,6361.43,5507.09,6242.78,163.39,950943.07
2018-07-16,BTCEUR,5391.11,5699,5000.01,5694.39,136.18,758455.65
2018-07-15,BTCEUR,5352,5599,5000.01,5391.11,90.43,481119.5
2018-07-14,BTCEUR,5327.16,5422.94,5319.24,5352,79.86,427116.98
2018-07-13,BTCEUR,5292.45,5422.95,5292.45,5327.16,134.47,723483.06
2018-07-12,BTCEUR,5513.35,5513.35,5279.3,5292.45,106.37,566253.92
